"imdbId","name","year","genre","directorId","imdbRating","numOfVotesImdb","twitterRating","numOfVotesTwitter"
"tt0086879","Amadeus","1984","5","1232","3","365971","3","317"
"tt0038650","It's a Wonderful Life","1946","4","1008","3","394486","3","322"
"tt5512872","Be Somebody","2016","6","2093933","2","3578","3","353"
"tt0060196","The Good, the Bad and the Ugly","1966","7","1466","3","682142","3","358"
"tt0071562","The Godfather: Part II","1974","3","338","3","1117391","3","374"
"tt0167260","The Lord of the Rings: The Return of the King","2003","2","1392","3","1626451","3","379"
"tt0108052","Schindler's List","1993","5","229","3","1201557","3","451"
"tt0120689","The Green Mile","1999","3","1104","3","1133557","3","499"
"tt0068646","The Godfather","1972","3","338","3","1599754","3","693"
"tt0468569","The Dark Knight","2008","2","634240","3","2279093","3","723"
"tt0050083","12 Angry Men","1957","3","1486","3","681607","3","816"
"tt0109830","Forrest Gump","1994","4","709","3","1786412","3","894"
"tt1375666","Inception","2010","2","634240","3","2042044","3","1037"
"tt0111161","The Shawshank Redemption","1994","4","1104","3","2316729","3","1114"
"tt4154796","Avengers: Endgame","2019","2","751648","3","786689","3","1440"
"tt7286456","Joker","2019","3","680846","3","907806","3","2742"
"tt0106489","A Bronx Tale","1993","3","134","3","127006","3","100"
"tt0281358","A Walk to Remember","2002","4","788202","2","198263","3","100"
"tt0027977","Modern Times","1936","6","122","3","215348","3","101"
"tt0106977","The Fugitive","1993","2","1112","3","265369","3","101"
"tt1865505","Song of the Sea","2014","1","1119079","3","50461","3","101"
"tt0036775","Double Indemnity","1944","3","697","3","142156","3","102"
"tt0047296","On the Waterfront","1954","3","1415","3","140772","3","103"
"tt0074958","Network","1976","4","1486","3","143860","3","103"
"tt0301357","Good Bye Lenin!","2003","6","65615","3","137098","3","103"
"tt0021749","City Lights","1931","6","122","3","165921","3","104"
"tt2375605","The Act of Killing","2012","5","2964327","3","34914","3","105"
"tt0097814","Kiki's Delivery Service","1989","1","594503","3","121773","3","105"
"tt0061512","Cool Hand Luke","1967","3","742341","3","160342","3","106"
"tt0046250","Roman Holiday","1953","6","943758","3","126309","3","106"
"tt2991224","Tangerines","2013","4","882203","3","39244","3","107"
"tt0093773","Predator","1987","2","1532","3","368750","3","108"
"tt8613070","Portrait of a Lady on Fire","2019","4","1780037","3","58151","3","108"
"tt0087884","Paris, Texas","1984","4","694","3","89328","3","108"
"tt0986264","Like Stars on Earth","2007","4","1244760","3","166230","3","108"
"tt0140352","The Insider","1999","5","520","3","158780","3","109"
"tt0080339","Airplane!","1980","6","958387","3","212751","3","110"
"tt0064115","Butch Cassidy and the Sundance Kid","1969","5","1351","3","200770","3","111"
"tt0060827","Persona","1966","4","5","3","101507","3","112"
"tt0093779","The Princess Bride","1987","1","1661","3","390621","3","113"
"tt0315733","21 Grams","2003","3","327944","3","223241","3","113"
"tt0978762","Mary and Max","2009","10","254178","3","163168","3","113"
"tt0095631","Midnight Run","1988","2","976","3","74964","3","113"
"tt0174856","The Hurricane","1999","5","422484","3","90953","3","114"
"tt0040522","Bicycle Thieves","1948","4","1120","3","144602","3","114"
"tt0097576","Indiana Jones and the Last Crusade","1989","2","229","3","686413","3","116"
"tt0056172","Lawrence of Arabia","1962","1","180","3","265510","3","117"
"tt0077651","Halloween","1978","9","118","3","231473","3","117"
"tt0245712","Amores Perros","2000","4","327944","3","221931","3","118"
"tt0289992","The Life of David Gale","2003","3","570","3","109191","3","118"
"tt2758880","Winter Sleep","2014","4","149196","3","45358","3","120"
"tt11833648","The Sun of Gnosis","2020","6","8941800","3","5334","3","120"
"tt0420223","Stranger Than Fiction","2006","6","286975","3","217853","3","121"
"tt1424432","Senna","2010","5","438090","3","63558","3","122"
"tt0072684","Barry Lyndon","1975","1","40","3","148007","3","122"
"tt1754656","The Little Prince","2015","1","651706","3","56120","3","123"
"tt4044364","Citizenfour","2014","5","688636","3","52125","3","123"
"tt0089218","The Goonies","1985","1","1149","3","242076","3","123"
"tt0050976","The Seventh Seal","1957","4","5","3","162736","3","124"
"tt0079522","Manhattan","1979","6","95","3","130597","3","124"
"tt0109686","Dumb and Dumber","1994","6","125803","2","350837","3","124"
"tt0099487","Edward Scissorhands","1990","4","318","3","443857","3","125"
"tt0091763","Platoon","1986","4","231","3","378199","3","126"
"tt0106519","Carlito's Way","1993","3","361","3","199313","3","126"
